model,horizon,number,value,state,params_batch_size,params_decoder_hidden_size,params_decoder_layers,params_dropout,params_early_stop_patience,params_encoder_n_layers,params_hidden_size,params_input_size,params_lr,params_scaler,duration,params_attn_dropout,params_n_head,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
tft,15d,8,,PRUNED,64.0,,,0.4818099885446264,44.0,,512.0,36.0,0.003622666594728667,robust,0 days 00:00:01.967979,0.14679592213224668,1.0,,,,,,,,,,
tft,15d,9,0.07938667047118926,COMPLETE,16.0,,,0.3509834386288517,32.0,,128.0,96.0,0.0024399336035729174,standard,0 days 00:04:06.653433,0.042673732496884,2.0,,,,,,,,,,
tft,15d,10,0.06691445609352786,COMPLETE,128.0,,,0.39759309738435183,45.0,,256.0,12.0,6.493767776722161e-05,robust,0 days 00:05:29.764898,0.12386549475057873,1.0,,,,,,,,,,
tft,15d,11,,PRUNED,16.0,,,0.2370869145436626,31.0,,384.0,36.0,1.9656332139612295e-05,robust,0 days 00:00:03.083789,0.2877370889379395,8.0,,,,,,,,,,
tft,15d,12,0.059950985630107534,COMPLETE,128.0,,,0.09789556739464822,41.0,,384.0,36.0,1.614670469622491e-05,minmax,0 days 00:11:11.886358,0.403417369633632,1.0,,,,,,,,,,
tft,15d,13,0.05866857986595132,COMPLETE,32.0,,,0.3754355338957487,40.0,,32.0,72.0,0.0018349685376940496,standard,0 days 00:01:45.736272,0.37618726471884,8.0,,,,,,,,,,
tft,15d,14,,PRUNED,32.0,,,0.17545750627603934,43.0,,512.0,48.0,2.244920931433379e-05,robust,0 days 00:00:01.089260,0.04175035834933438,2.0,,,,,,,,,,
tft,15d,15,0.07137068545908945,COMPLETE,64.0,,,0.028151637840918675,38.0,,128.0,96.0,2.2722376351800995e-05,robust,0 days 00:03:59.432979,0.2615489220850744,1.0,,,,,,,,,,
tft,15d,16,,PRUNED,32.0,,,0.47520574203827937,40.0,,256.0,96.0,0.004685882039801086,minmax,0 days 00:00:02.095157,0.36285975419418,8.0,,,,,,,,,,
tft,15d,17,0.06346669818016817,COMPLETE,64.0,,,0.49363806465747223,42.0,,96.0,96.0,2.8265109567655277e-05,robust,0 days 00:03:05.250681,0.06457970757574749,1.0,,,,,,,,,,
tft,15d,18,0.06452832993500923,COMPLETE,32.0,,,0.26015385045189665,35.0,,32.0,12.0,0.00207469937066435,robust,0 days 00:01:13.596753,0.17412773351165017,8.0,,,,,,,,,,
tft,15d,19,0.07032724108972849,COMPLETE,32.0,,,0.2460581465397691,44.0,,256.0,12.0,5.952962748435576e-05,robust,0 days 00:05:31.509028,0.02043430813323943,2.0,,,,,,,,,,
tft,15d,20,0.08099032658447772,COMPLETE,32.0,,,0.25170863542742844,39.0,,256.0,24.0,0.0011781063202742131,minmax,0 days 00:06:05.153442,0.12621847217201038,4.0,,,,,,,,,,
tft,15d,21,0.07014302121989072,COMPLETE,128.0,,,0.13462161547469048,36.0,,64.0,24.0,0.00013547291924247333,minmax,0 days 00:01:56.711619,0.28538915233445594,8.0,,,,,,,,,,
tft,15d,22,0.08033233518645888,COMPLETE,32.0,,,0.09328351202565288,44.0,,64.0,24.0,7.166143591413812e-05,minmax,0 days 00:01:57.187164,0.09352187427876169,8.0,,,,,,,,,,
tft,15d,23,0.06643887338287277,COMPLETE,16.0,,,0.07718135763710116,35.0,,256.0,24.0,0.0002776005393437382,robust,0 days 00:06:04.305589,0.36543373760182213,4.0,,,,,,,,,,
tft,15d,24,0.08411910981004907,COMPLETE,32.0,,,0.10081366002387226,33.0,,32.0,24.0,3.097189858969044e-05,standard,0 days 00:01:19.659264,0.31211899795699605,8.0,,,,,,,,,,
